Wikipedia ID,Movie Name,Year,Character Name,Count,Full name,Normalized_name,Mean Difference,Influenced,Wikipedia_movie_ID,Genres
451866,mission: impossible ii,2000,Ethan,18,Ethan Hunt,ETHAN,15725.466666666667,1,451866.0,"Thriller, Action Thrillers, Action/Adventure, Glamorized Spy Film, Action, Spy"
633411,the avengers,1998,Emma,15,Emma Peel,EMMA,14985.966666666667,1,633411.0,"Thriller, Adventure, Action/Adventure, Comedy, Action, Spy"
3727473,man on fire,1987,Samantha,4,"Samantha ""Sam"" Balletto",SAMANTHA,14453.5,1,3727473.0,"Thriller, Action, Drama, Indie"
347000,suspiria,1977,Sarah,15,Sarah,SARAH,14372.466666666667,1,347000.0,"Horror, World cinema, Supernatural, Gothic Film, Cult, Coming of age, Slasher"
320401,barton fink,1991,Taylor,3,Audrey Taylor,TAYLOR,13892.1,1,320401.0,"Thriller, Indie, Comedy-drama, Mystery, Period piece, Drama, Comedy, Black comedy"
1048695,dracula,1979,Jonathan,6,Jonathan Harker,JONATHAN,13219.566666666668,1,1048695.0,Horror
142417,apollo 13,1995,Jack,8,Jack Swigert,JACK,12508.133333333337,1,142417.0,"History, Drama, Adventure"
268833,goldeneye,1995,Jack,4,Jack Wade,JACK,12508.133333333337,1,268833.0,"Thriller, Action Thrillers, Adventure, Action/Adventure, Glamorized Spy Film, Action, Spy"
167857,the usual suspects,1995,Jack,3,Jack Baer,JACK,12508.133333333337,1,167857.0,"Thriller, Ensemble Film, Mystery, Crime Fiction, Crime Thriller, Neo-noir"
52371,titanic,1997,Jack,27,Jack Dawson,JACK,12348.266666666668,1,52371.0,"Tragedy, Costume drama, Historical fiction, Action/Adventure, Period piece, Drama, Disaster, Romantic drama, Romance Film"
362719,superman,1978,Jonathan,2,Jonathan Kent's,JONATHAN,10878.166666666668,1,362719.0,"Science Fiction, Adventure, Superhero movie, Action/Adventure, Family Film, Action"
685977,sixteen candles,1984,Samantha,14,"Samantha ""Sam"" Baker",SAMANTHA,10643.533333333333,1,685977.0,"Romantic comedy, Cult, Coming of age, Comedy, Romance Film, Teen"
