Wikipedia ID,Movie Name,Year,Character Name,Count,Full name,Normalized_name,Influence
330874,l'avventura,1960,Gloria,3,Gloria Perkins,GLORIA,inf
3837,blazing saddles,1974,Hedley,8,Hedley Lamarr,HEDLEY,inf
6268880,on her majesty's secret service,1969,Bray,2,Hilary Bray,BRAY,inf
695266,lethal weapon 3,1992,Riggs,5,Martin Riggs,RIGGS,inf
177906,labyrinth,1986,Jareth,9,Jareth,JARETH,inf
872441,first blood,1982,Rambo,9,John Rambo,RAMBO,inf
11862690,juno,2007,Paulie,3,Paulie Bleeker,PAULIE,inf
933321,kelly's heroes,1970,Tiger,2,Tiger,TIGER,inf
173941,the lord of the rings: the fellowship of the ring,2001,Legolas,3,Legolas,LEGOLAS,inf
173941,the lord of the rings: the fellowship of the ring,2001,Pippin,4,Pippin,PIPPIN,inf
173941,the lord of the rings: the fellowship of the ring,2001,Samwise,7,Samwise Gamgee,SAMWISE,inf
1645634,the big sleep,1978,Mars,3,Eddie Mars,MARS,inf
179825,top gun,1986,Cougar,2,Cougar,COUGAR,inf
483274,point break,1991,Utah,27,Johnny Utah,UTAH,inf
557036,la dolce vita,1960,Robert,3,Robert,ROBERT,inf
31556,the magnificent seven,1960,Chris,12,Chris,CHRIS,inf
557036,la dolce vita,1960,Perez,2,Perez Prado's,PEREZ,inf
557036,la dolce vita,1960,Patricia,2,Patricia,PATRICIA,inf
557036,la dolce vita,1960,Madonna,2,Madonna,MADONNA,inf
525113,tombstone,1993,Ringo,2,Johnny Ringo,RINGO,inf
525113,tombstone,1993,Holliday,8,Doc Holliday,HOLLIDAY,inf
4608223,west side story,1961,Chino,7,Chino,CHINO,inf
4608223,west side story,1961,Baby,2,Baby John  ,BABY,inf
50793,star wars episode i: the phantom menace,1999,Amidala,6,Queen Amidala,AMIDALA,inf
20286230,house,1977,Sweet,3,Sweet,SWEET,inf
31556,the magnificent seven,1960,Lee,2,Lee,LEE,inf
31556,the magnificent seven,1960,Vin,2,Vin,VIN,inf
31556,the magnificent seven,1960,Britt,2,Britt,BRITT,inf
31556,the magnificent seven,1960,Bernardo,3,Bernardo O'Reilly,BERNARDO,inf
31556,the magnificent seven,1960,Harry,4,Harry Luck,HARRY,inf
30007,the matrix,1999,Morpheus,5,Morpheus,MORPHEUS,inf
4607980,to kill a mockingbird,1962,Jem,10,Jem,JEM,inf
30007,the matrix,1999,Matrix,9,Matrix,MATRIX,inf
30007,the matrix,1999,Neo,19,Neo,NEO,inf
2982688,x-men origins: wolverine,2009,Wraith,3,John Wraith,WRAITH,inf
339526,breathless,1960,Dudley,2,Dudley Andrew's,DUDLEY,inf
339526,breathless,1960,Patricia,4,Patricia,PATRICIA,inf
339526,breathless,1960,Michel,10,Michel,MICHEL,inf
3949045,rocco and his brothers,1960,Simone,2,Simone,SIMONE,inf
3949045,rocco and his brothers,1960,Rocco,3,Rocco,ROCCO,inf
1854000,the bourne ultimatum,2007,Hirsch,4,Albert Hirsch,HIRSCH,inf
1854000,the bourne ultimatum,2007,Bourne,3,Jason Bourne,BOURNE,inf
31775043,prometheus,2012,Prometheus,4,Prometheus,PROMETHEUS,inf
155997,boyz n the hood,1991,Furious,2,Furious Styles,FURIOUS,inf
35919373,from here to eternity,1979,Holmes,3,Holmes,HOLMES,inf
1930290,barbarella,1968,Barbarella,29,Barbarella,BARBARELLA,inf
2466773,the godfather,1972,Hagen,2,Tom Hagen,HAGEN,inf
2580403,american pie,1999,Myers,7,Kevin Myers,MYERS,inf
518615,king kong,1976,Mate,2,Mate Carnahan,MATE,inf
31941988,harry potter and the deathly hallows – part 2,2011,Potter,32,Harry Potter,POTTER,inf
173944,the lord of the rings: the two towers,2002,Legolas,3,Legolas,LEGOLAS,inf
174251,the lord of the rings: the return of the king,2003,Legolas,3,Legolas,LEGOLAS,inf
9294,the evil dead,1981,Ash,12,Ash,ASH,inf
734207,oldboy,2003,Oh,17,Businessman Oh Dae-su,OH,inf
74868,the last picture show,1971,Farrow,3,Jacy Farrow,FARROW,inf
930379,casino royale,2006,Vesper,3,Vesper Lynd,VESPER,inf
2274938,friday the 13th part 2,1981,Field,6,Ginny Field,FIELD,inf
25862453,the amazing spider-man,2012,Flash,2,Flash Thompson,FLASH,inf
228355,the naked gun: from the files of police squad!,1988,Olsen,2,Ted Olsen,OLSEN,inf
17049621,the andromeda strain,1971,Stone,2,Jeremy Stone,STONE,inf
24314116,pirates of the caribbean: on stranger tides,2011,Swift,5,Philip Swift,SWIFT,inf
23270459,inception,2010,Eames,5,Eames,EAMES,inf
217776,"they shoot horses, don't they?",1969,Kline,4,Harry Kline,KLINE,inf
451866,mission: impossible ii,2000,Ethan,18,Ethan Hunt,ETHAN,15725.466666666667
633411,the avengers,1998,Emma,15,Emma Peel,EMMA,14985.966666666667
3727473,man on fire,1987,Samantha,4,"Samantha ""Sam"" Balletto",SAMANTHA,14453.5
347000,suspiria,1977,Sarah,15,Sarah,SARAH,14372.466666666667
483274,point break,1991,Tyler,3,Tyler Endicott,TYLER,14176.666666666668
320401,barton fink,1991,Taylor,3,Audrey Taylor,TAYLOR,13892.1
1048695,dracula,1979,Jonathan,6,Jonathan Harker,JONATHAN,13219.566666666668
751724,i spit on your grave,1978,Matthew,13,Matthew hides,MATTHEW,12837.433333333334
5735396,invasion of the body snatchers,1978,Matthew,16,Matthew Bennell,MATTHEW,12837.433333333334
142417,apollo 13,1995,Jack,8,Jack Swigert,JACK,12508.133333333335
268833,goldeneye,1995,Jack,4,Jack Wade,JACK,12508.133333333335
167857,the usual suspects,1995,Jack,3,Jack Baer,JACK,12508.133333333335
52371,titanic,1997,Jack,27,Jack Dawson,JACK,12348.266666666668
29943,the breakfast club,1985,Andrew,3,Andrew Clark,ANDREW,11099.766666666663
17049621,the andromeda strain,1971,Jeremy,2,Jeremy Stone,JEREMY,10936.266666666666
362719,superman,1978,Jonathan,2,Jonathan Kent's,JONATHAN,10878.166666666668
685977,sixteen candles,1984,Samantha,14,"Samantha ""Sam"" Baker",SAMANTHA,10643.533333333333
30327,the terminator,1984,Kyle,14,Kyle Reese,KYLE,10607.133333333331
99123,speed,1994,Jack,35,Jack Traven,JACK,10288.2
196176,straw dogs,1971,Amy,17,Amy,AMY,10136.900000000001
447299,from dusk till dawn,1996,Jacob,10,Jacob,JACOB,8951.533333333336
97646,die hard,1988,Alexander,2,Alexander,ALEXANDER,8733.633333333331
261237,the gods must be crazy,1980,Andrew,2,Andrew Steyn,ANDREW,8704.033333333333
724258,mission: impossible,1996,Ethan,33,Ethan Hunt,ETHAN,8677.6
403227,the nightmare before christmas,1993,Jack,11,Jack assigns Lock,JACK,7885.366666666666
41528,forrest gump,1994,Taylor,7,Dan Taylor,TAYLOR,7878.966666666667
370064,love actually,2003,Mia,3,Mia  ,MIA,7789.1
248222,the fast and the furious,2001,Mia,6,Mia,MIA,7618.633333333334
1267713,the others,2001,Grace,7,Grace Stewart,GRACE,6960.4
62668,the ring,2002,Aidan,7,Aidan,AIDAN,6771.033333333334
706878,the last boy scout,1991,Alexander,17,"James ""Jimmy"" Alexander Dix",ALEXANDER,6737.200000000001
654530,legends of the fall,1994,Samuel,11,Samuel,SAMUEL,6672.5666666666675
1854000,the bourne ultimatum,2007,Noah,15,Noah Vosen,NOAH,6662.5
171562,american history x,1998,Cameron,3,Cameron Alexander,CAMERON,6534.799999999999
17917662,the notebook,2004,Noah,24,Noah Calhoun,NOAH,6105.4
34344124,terminator 2: judgment day,1991,Connor,12,John Connor,CONNOR,6015.1
34344124,terminator 2: judgment day,1991,Connor,12,Sarah Connor,CONNOR,6015.1
34130,wargames,1983,Joshua,9,Joshua,JOSHUA,6009.133333333339
242539,an officer and a gentleman,1982,Zachary,28,"Zachary ""Zack""",ZACHARY,5966.7
168593,"good morning, vietnam",1987,Taylor,4,Taylor,TAYLOR,5762.7
5735396,invasion of the body snatchers,1978,Elizabeth,13,Elizabeth Driscoll,ELIZABETH,5705.700000000001
