Wikipedia ID,Movie Name,Year,Character Name,Count,Full name,Normalized_name,Influence
557036,la dolce vita,1960,Emma,10,Emma,EMMA,inf
1880660,"the chronicles of narnia: the lion, the witch and the wardrobe",2005,Edmund,2,Edmund,EDMUND,inf
31176,the parent trap,1961,Sharon,7,Sharon telephones Susan,SHARON,inf
18952889,"it's a mad, mad, mad, mad world",1963,Marcus,7,Marcus,MARCUS,inf
301574,the little mermaid,1989,Ariel,27,Ariel spends,ARIEL,inf
57820,donnie darko,2001,Kitty,3,Kitty Farmer,KITTY,inf
1428048,the last of the mohicans,1992,Edmund,4,Edmund Munro,EDMUND,inf
2021400,the 40-year-old virgin,2005,Jill,2,Jill,JILL,inf
618929,ghostbusters ii,1989,Louis,2,Louis and Janine,LOUIS,inf
4453691,blood diamond,2006,Van,2,Rudolph Van de Kaap,VAN,inf
3949045,rocco and his brothers,1960,Simone,2,Simone,SIMONE,inf
339526,breathless,1960,Patricia,4,Patricia,PATRICIA,inf
1748912,the killers,1964,Sheila,23,Sheila Farr,SHEILA,inf
31556,the magnificent seven,1960,Harry,4,Harry Luck,HARRY,inf
31556,the magnificent seven,1960,Britt,2,Britt,BRITT,inf
2821933,the time machine,1960,David,2,David Filby,DAVID,inf
2821933,the time machine,1960,George,16,James informs George,GEORGE,inf
557036,la dolce vita,1960,Patricia,2,Patricia,PATRICIA,inf
2821933,the time machine,1960,James,16,James informs George,JAMES,inf
557036,la dolce vita,1960,Robert,3,Robert,ROBERT,inf
6816597,la notte,1961,Roberto,4,Roberto,ROBERTO,inf
413949,peeping tom,1960,Mark,14,Mark Lewis,MARK,inf
17298593,mission: impossible – ghost protocol,2011,Jane,8,Jane Carter,JANE,inf
557036,la dolce vita,1960,Sylvia,12,Sylvia,SYLVIA,inf
31201599,ted,2012,Ted,28,Ted around,TED,inf
654530,legends of the fall,1994,Tristan,16,Tristan,TRISTAN,inf
598397,shaun of the dead,2004,Barbara,3,Barbara,BARBARA,inf
2491582,eyes without a face,1960,Louise,7,Louise,LOUISE,inf
2491582,eyes without a face,1960,Christiane,13,Christiane Génessier,CHRISTIANE,inf
145445,the umbrellas of cherbourg,1964,Madeleine,6,Madeleine,MADELEINE,inf
5989305,breathless,1960,Monica,4,Monica Poiccard,MONICA,inf
12673434,thor,2011,Jane,4,Kissing Jane,JANE,inf
3723140,army of shadows,1969,Félix,2,Félix Lepercq,FELIX,inf
1449256,point blank,1967,Chris,5,Chris,CHRIS,inf
6492614,the odd couple,1968,Felix,23,Felix Ungar,FELIX,inf
4607980,to kill a mockingbird,1962,Louise,8,"Jean Louise ""Scout",LOUISE,inf
44302,amélie,2001,Amélie,6,Amélie Poulain,AMELIE,inf
920613,cars,2006,Van,2,Van,VAN,inf
129493,dead poets society,1989,Charlie,2,Charlie punches Cameron,CHARLIE,inf
217776,"they shoot horses, don't they?",1969,Joel,2,Joel,JOEL,inf
29782,the big lebowski,1998,Walter,12,Walter,WALTER,inf
330874,l'avventura,1960,Gloria,3,Gloria Perkins,GLORIA,inf
129368,rain man,1988,Charlie,22,Charlie Babbitt,CHARLIE,inf
330874,l'avventura,1960,Claudia,5,Claudia,CLAUDIA,inf
1917925,what ever happened to baby jane?,1962,Edwin,7,Edwin Flagg,EDWIN,inf
872386,papillon,1973,Louis,10,Louis Dega,LOUIS,inf
330874,l'avventura,1960,Anna,23,Anna  ,ANNA,inf
3723140,army of shadows,1969,Mathilde,8,Mathilde,MATHILDE,inf
343408,the aristocats,1970,Thomas,4,Thomas O'Malley,THOMAS,462.5
1145761,where eagles dare,1968,Thomas,3,Thomas,THOMAS,347.4333333333333
633411,the avengers,1998,Emma,15,Emma Peel,EMMA,316.23333333333335
74537,brazil,1985,Ida,2,Ida,IDA,290.1333333333334
695227,lethal weapon 2,1989,Martin,9,Martin Riggs,MARTIN,285.9
30006,the silence of the lambs,1991,Martin,2,Catherine Martin,MARTIN,261.4666666666666
235418,lethal weapon,1987,Martin,7,Martin Riggs,MARTIN,239.89999999999998
1107088,"the karate kid, part ii",1986,Daniel,26,Daniel,DANIEL,237.53333333333336
17917662,the notebook,2004,Noah,24,Noah Calhoun,NOAH,233.36666666666667
91133,the karate kid,1984,Daniel,23,Daniel LaRusso,DANIEL,231.46666666666664
84931,witness,1985,Daniel,3,Daniel Hochleitner,DANIEL,227.10000000000002
695266,lethal weapon 3,1992,Martin,5,Martin Riggs,MARTIN,209.70000000000005
62668,the ring,2002,Noah,6,Noah,NOAH,202.63333333333333
3156200,hang 'em high,1968,Tommy,2,Tommy,TOMMY,200.1
18952889,"it's a mad, mad, mad, mad world",1963,Monica,3,Monica,MONICA,195.66666666666669
503573,dazed and confused,1993,Julie,2,Julie Simms,JULIE,190.33333333333331
511228,the poseidon adventure,1972,Linda,2,Linda,LINDA,189.46666666666664
1424739,pierrot le fou,1965,Marianne,8,Marianne Renoir,MARIANNE,161.36666666666662
2236472,transformers,2007,William,2,William Lennox,WILLIAM,155.83333333333331
3213691,there will be blood,2007,William,5,William Bandy,WILLIAM,155.83333333333331
481605,batman begins,2005,William,2,William Earle,WILLIAM,147.73333333333332
1385251,wedding crashers,2005,William,6,William Cleary,WILLIAM,147.73333333333332
1854000,the bourne ultimatum,2007,Noah,15,Noah Vosen,NOAH,142.0
525113,tombstone,1993,Marcus,6,Josephine Marcus,MARCUS,134.5
347000,suspiria,1977,Daniel,3,Daniel,DANIEL,133.9
6804043,gladiator,2000,Noah,4,Noah,NOAH,131.7
179351,one hundred and one dalmatians,1961,Anita,5,Anita,ANITA,129.5
4608223,west side story,1961,Anita,25,Anita,ANITA,129.5
2982688,x-men origins: wolverine,2009,William,2,William Stryker,WILLIAM,128.89999999999998
352795,jaws 2,1978,Martin,13,Martin Brody,MARTIN,122.16666666666669
321496,pirates of the caribbean: the curse of the black pearl,2003,William,3,"William ""Bootstrap Bill",WILLIAM,113.26666666666668
129619,ghost,1990,Oda,7,Oda Mae's,ODA,112.73333333333335
41528,forrest gump,1994,Benjamin,3,"Benjamin Buford ""Bubba"" Blue",BENJAMIN,110.3
248222,the fast and the furious,2001,Mia,6,Mia,MIA,109.6
3793631,children of men,2006,Theo,15,Theo Faron,THEO,103.86666666666666
370064,love actually,2003,Mia,3,Mia  ,MIA,103.13333333333333
74830,jaws,1975,Martin,6,Martin Brody,MARTIN,99.03333333333333
17384479,ransom,1975,Martin,5,Martin Shepherd,MARTIN,99.03333333333333
33270,when harry met sally...,1989,Marie,3,Marie,MARIE,96.76666666666668
77744,wayne's world,1992,Benjamin,10,Benjamin Kane,BENJAMIN,95.36666666666666
431562,almost famous,2000,William,39,William Miller,WILLIAM,92.2
513149,cannibal holocaust,1980,Anders,3,Jack Anders,ANDERS,91.39999999999998
309070,the dirty dozen,1967,Robert,2,Robert Jefferson,ROBERT,91.06666666666666
204019,notting hill,1999,William,4,"William ""Will",WILLIAM,89.1
97646,die hard,1988,Alexander,2,Alexander,ALEXANDER,86.36666666666667
716738,meet joe black,1998,William,19,"William ""Bill""",WILLIAM,84.63333333333334
73467,five easy pieces,1970,Robert,7,Robert Dupea,ROBERT,84.5333333333333
553101,the fly,1986,Helene,8,Helene,HELENE,79.4666666666667
217776,"they shoot horses, don't they?",1969,Robert,7,Robert Syverton,ROBERT,77.63333333333333
76394,tootsie,1982,Julie,18,Michael  approaches Julie,JULIE,77.1
23830211,requiem for a dream,2000,Sara,4,Sara Goldfarb,SARA,74.43333333333334
