Wikipedia ID,Movie Name,Year,Character Name,Count
31186339,the hunger games,2012,Peeta Mellark,5
31186339,the hunger games,2012,Katniss,4
31186339,the hunger games,2012,Haymitch Abernathy,3
31186339,the hunger games,2012,Seneca Crane,2
31186339,the hunger games,2012,Snow,2
31186339,the hunger games,2012,Rue,2
657446,liar liar,1997,Max,13
657446,liar liar,1997,Audrey,8
657446,liar liar,1997,Jerry,2
19755481,wait until dark,1967,"Harry Roat, Jr.",23
19755481,wait until dark,1967,Sam Hendrix,14
19755481,wait until dark,1967,Mike Talman,12
19755481,wait until dark,1967,Lisa,9
19755481,wait until dark,1967,Gloria,8
19755481,wait until dark,1967,Carlino,7
19755481,wait until dark,1967,Susy,2
9294,the evil dead,1981,Cheryl,14
9294,the evil dead,1981,Ash,12
9294,the evil dead,1981,Scotty,6
9294,the evil dead,1981,Linda,6
9294,the evil dead,1981,Shelly,3
2274938,friday the 13th part 2,1981,Jason Voorhees,18
2274938,friday the 13th part 2,1981,Ginny Field,6
2274938,friday the 13th part 2,1981,Paul Holt,5
2274938,friday the 13th part 2,1981,Pamela Voorhees,3
2274938,friday the 13th part 2,1981,Terry,3
2274938,friday the 13th part 2,1981,Alice L. Hardy,2
17049621,the andromeda strain,1971,Wildfire,9
17049621,the andromeda strain,1971,Realizing Keane's,7
17049621,the andromeda strain,1971,George Mancheck,5
17049621,the andromeda strain,1971,Jeremy Stone,2
17049621,the andromeda strain,1971,Chuck Beeter,2
17049621,the andromeda strain,1971,Jack Nash,2
17049621,the andromeda strain,1971,Chou,2
265033,space jam,1996,the Looney Tunes,6
265033,space jam,1996,Michael Jordan,6
265033,space jam,1996,Swackhammer,3
265033,space jam,1996,Bugs Bunny,2
228355,the naked gun: from the files of police squad!,1988,Frank shot Ludwig,24
228355,the naked gun: from the files of police squad!,1988,Jane Spencer,9
228355,the naked gun: from the files of police squad!,1988,Officer Nordberg,8
228355,the naked gun: from the files of police squad!,1988,Reggie Jackson,5
228355,the naked gun: from the files of police squad!,1988,Drebin 24 hours,3
228355,the naked gun: from the files of police squad!,1988,Mikhail Gorbachev,2
228355,the naked gun: from the files of police squad!,1988,Pahpshmir,2
228355,the naked gun: from the files of police squad!,1988,Ted Olsen,2
23438736,easy a,2010,Griffith,6
23438736,easy a,2010,Marianne,4
23438736,easy a,2010,Brandon,4
23438736,easy a,2010,Olive,2
23438736,easy a,2010,Todd,2
335298,toy story 2,1999,Buzz Lightyears,15
335298,toy story 2,1999,Andy,9
335298,toy story 2,1999,Jessie,8
335298,toy story 2,1999,Woody,4
335298,toy story 2,1999,Zurg,2
335298,toy story 2,1999,Rex,2
74868,the last picture show,1971,Sonny Crawford,11
74868,the last picture show,1971,Duane Jackson,9
74868,the last picture show,1971,Ruth Popper,5
74868,the last picture show,1971,Sam the Lion's,4
74868,the last picture show,1971,Jacy Farrow,3
74868,the last picture show,1971,Bobby Sheen,3
4836072,my fair lady,1964,Henry Higgins,24
4836072,my fair lady,1964,Alfred P. Doolittle,3
4836072,my fair lady,1964,Freddy Eynsford-Hill,2
24480838,black swan,2010,Thomas Leroy,11
24480838,black swan,2010,Lily,11
24480838,black swan,2010,Beth Macintyre,3
24480838,black swan,2010,Nina,2
583932,a view to a kill,1985,Godfrey Tibbett,4
583932,a view to a kill,1985,Carl Mortner,4
583932,a view to a kill,1985,Scarpine,4
583932,a view to a kill,1985,Stacey Sutton,3
583932,a view to a kill,1985,Achille Aubergine,2
66870,annie hall,1977,Soon Annie,8
66870,annie hall,1977,Marshall McLuhan,2
180241,sanjuro,1962,Sanjuro,13
41528,forrest gump,1994,Forrest Gump,28
41528,forrest gump,1994,Dan Taylor,7
41528,forrest gump,1994,Jenny,7
41528,forrest gump,1994,"Benjamin Buford ""Bubba"" Blue",3
2270205,viridiana,1961,Don Jaime,5
2270205,viridiana,1961,Viridiana,4
2270205,viridiana,1961,Jorge,3
2270205,viridiana,1961,Moncho,2
2270205,viridiana,1961,Lucia,2
2270205,viridiana,1961,Rita,2
2162986,the pursuit of happyness,2006,Chris Gardner,13
666923,the lost world: jurassic park,1997,Ian Malcolm,16
666923,the lost world: jurassic park,1997,Sarah Harding,12
666923,the lost world: jurassic park,1997,Kelly,8
666923,the lost world: jurassic park,1997,Peter Ludlow,7
666923,the lost world: jurassic park,1997,Nick Van Owen,6
666923,the lost world: jurassic park,1997,Isla Sorna,5
666923,the lost world: jurassic park,1997,Eddie Carr,4
666923,the lost world: jurassic park,1997,InGen,4
666923,the lost world: jurassic park,1997,Carter,3
666923,the lost world: jurassic park,1997,Compsognathus,2
666923,the lost world: jurassic park,1997,John Hammond,2
666923,the lost world: jurassic park,1997,Isla Nublar,2
930379,casino royale,2006,Le Chiffre's,6
930379,casino royale,2006,Vesper Lynd,3
930379,casino royale,2006,James Bond,3
930379,casino royale,2006,White,3
930379,casino royale,2006,Rene Mathis,2
930379,casino royale,2006,MI6,2
3733842,seconds,1966,Arthur Hamilton,10
3733842,seconds,1966,Tony Wilson,3
3733842,seconds,1966,Charlie Evans,2
3733842,seconds,1966,Nora Marcus,2
11893755,into the wild,2007,Jan Burres  ,3
11893755,into the wild,2007,Ron Franz,3
11893755,into the wild,2007,Christopher McCandless,2
697113,big trouble in little china,1986,Jack Burton,17
697113,big trouble in little china,1986,Lo Pan's,12
697113,big trouble in little china,1986,Wang Chi,9
697113,big trouble in little china,1986,Miao Yin,7
697113,big trouble in little china,1986,the Chang Sing,3
598868,mad max beyond thunderdome,1985,Max Rockatansky,18
598868,mad max beyond thunderdome,1985,Bartertown Max,2
598868,mad max beyond thunderdome,1985,Aunty Entity,2
598868,mad max beyond thunderdome,1985,Jedediah,2
490623,kiki's delivery service,1989,Kiki,4
490623,kiki's delivery service,1989,Jiji,2
9378717,the spy who came in from the cold,1965,Alec Leamas,15
9378717,the spy who came in from the cold,1965,Nan Perry,3
9378717,the spy who came in from the cold,1965,Herr Fiedler,2
9378717,the spy who came in from the cold,1965,Mundt,2
3920193,no country for old men,2007,Llewelyn Moss,8
3920193,no country for old men,2007,Anton Chigurh,3
3920193,no country for old men,2007,Carla Jean,3
1623960,brokeback mountain,2005,Jack Twist,36
1623960,brokeback mountain,2005,Alma Jr.,6
1623960,brokeback mountain,2005,Lureen Newsome,4
1623960,brokeback mountain,2005,Joe Aguirre,2
1623960,brokeback mountain,2005,Randall,2
673472,the lost boys,1987,Michael Emerson,26
673472,the lost boys,1987,Sam,16
673472,the lost boys,1987,Lucy,12
673472,the lost boys,1987,Max,12
673472,the lost boys,1987,David,10
673472,the lost boys,1987,Grandpa,4
18951054,apocalypse now,1979,Willard enters Kurtz,33
18951054,apocalypse now,1979,Lance Johnson,2
18951054,apocalypse now,1979,Montagnard,2
18951054,apocalypse now,1979,Clean,2
142430,fargo,1996,Jerry Lundegaard,14
142430,fargo,1996,Carl Showalter,12
142430,fargo,1996,Gaear Grimsrud,6
142430,fargo,1996,Wade Gustafson,6
142430,fargo,1996,Marge Gunderson,2
142430,fargo,1996,Shep Proudfoot,2
142430,fargo,1996,Jean  in,2
142430,fargo,1996,Brainerd,2
267848,scarface,1983,Tony Montana,52
267848,scarface,1983,Manny kills Frank,29
267848,scarface,1983,Alejandro Sosa,14
267848,scarface,1983,Gina,12
267848,scarface,1983,Omar Suarez,7
267848,scarface,1983,Mel Bernstein,4
267848,scarface,1983,Chi-Chi,4
267848,scarface,1983,Alberto,2
267848,scarface,1983,Angel,2
53085,toy story,1995,Buzz Lightyear,29
53085,toy story,1995,Andy Davis,18
53085,toy story,1995,Sid Phillips,5
53085,toy story,1995,Woody,3
53085,toy story,1995,Potato Head,2
53085,toy story,1995,Scud,2
2251266,ocean's eleven,2001,Terry Benedict,20
2251266,ocean's eleven,2001,Rusty Ryan,7
2251266,ocean's eleven,2001,Reuben Tishkoff,3
2251266,ocean's eleven,2001,Frank Catton,3
2251266,ocean's eleven,2001,Bellagio,3
2251266,ocean's eleven,2001,Bruiser,3
2251266,ocean's eleven,2001,Linus Caldwell,2
2251266,ocean's eleven,2001,Danny Ocean,2
2251266,ocean's eleven,2001,Saul Bloom,2
2251266,ocean's eleven,2001,Yen,2
179044,the jerk,1979,Navin R. Johnson,18
179044,the jerk,1979,Marie knocks,10
179044,the jerk,1979,Patty Bernstein,2
179044,the jerk,1979,Carl Reiner,2
179044,the jerk,1979,Stan Fox,2
142463,life is beautiful,1997,Guido,6
142463,life is beautiful,1997,Dora,6
8031432,the curious case of benjamin button,2008,Benjamin Button,20
8031432,the curious case of benjamin button,2008,Daisy,18
8031432,the curious case of benjamin button,2008,Thomas Button,4
8031432,the curious case of benjamin button,2008,Queenie,3
8031432,the curious case of benjamin button,2008,Mike,3
9541497,in bruges,2008,Harry shoots Ray,53
9541497,in bruges,2008,Ken,18
9541497,in bruges,2008,Eirik and Chloë,5
9541497,in bruges,2008,Jimmy,4
9541497,in bruges,2008,Marie,2
142456,good will hunting,1997,Gerald Lambeau,10
142456,good will hunting,1997,Chuckie Sullivan,3
142456,good will hunting,1997,Will Hunting,2
3569822,a beautiful mind,2001,John Nash,13
3569822,a beautiful mind,2001,Alicia Larde,7
3569822,a beautiful mind,2001,Charles Herman,4
3569822,a beautiful mind,2001,Martin Hansen,4
3569822,a beautiful mind,2001,Rosen,4
3569822,a beautiful mind,2001,Richard Sol,2
3569822,a beautiful mind,2001,Bender,2
407293,the fast and the furious,2001,Frank Webster,4
265891,the great race,1965,Leslie bests Von Stuppe,14
265891,the great race,1965,Fate,6
265891,the great race,1965,Maggie DuBois,5
265891,the great race,1965,Maximilian Meen,3
265891,the great race,1965,Hezekiah Sturdy,3
143952,alphaville,1965,Caution,2
216072,home alone,1990,Kevin,16
216072,home alone,1990,Harry Lyme,6
216072,home alone,1990,Marley,5
216072,home alone,1990,Buzz,4
216072,home alone,1990,Marv Merchants,2
216072,home alone,1990,Peter,2
216072,home alone,1990,Kate,2
6722354,the secret of my success,1965,Arthur Tate,10
6722354,the secret of my success,1965,Hobart,3
6722354,the secret of my success,1965,Marigold Marado,2
31665157,the silence,1963,Khorshid,2
