Year,Name,Sex,Count
1960,AAGE,M,23
1960,AASE,F,41
1960,AASHILD,F,5
1960,AASMUND,M,8
1960,ABBAS,M,5
1960,ABDI,M,8
1960,ABDIRAHMAN,M,5
1960,ABDUL,M,17
1960,ABDULKADIR,M,5
1960,ABDULLAH,M,5
1960,ABDULLAHI,M,5
1960,ABDULRAHMAN,M,4
1960,ABRAHAM,M,7
1960,ADAM,M,16
1960,ADNAN,M,6
1960,ADNE,M,7
1960,ADRIAN,M,4
1960,AGE,M,112
1960,AGNAR,M,12
1960,AGNES,F,19
1960,AHMAD,M,7
1960,AHMED,M,33
1960,AHMET,M,5
1960,AINA,F,55
1960,AKSEL,M,19
1960,ALAN,M,9
1960,ALBERT,M,15
1960,ALEJANDRO,M,4
1960,ALEX,M,6
1960,ALEXANDER,M,9
1960,ALF,M,167
1960,ALFHILD,F,7
1960,ALFRED,M,25
1960,ALI,M,40
1960,ALICE,F,20
1960,ALINA,F,4
1960,ALISE,F,8
1960,ALLAN,M,13
1960,ALV,M,5
1960,AMINA,F,8
1960,AMIR,M,15
1960,AMUND,M,10
1960,ANA,F,13
1960,ANDERS,M,159
1960,ANDRE,M,22
1960,ANDREA,F,8
1960,ANDREAS,M,39
1960,ANDREW,M,6
1960,ANDRZEJ,M,55
1960,ANE,F,8
1960,ANETTE,F,30
1960,ANGELA,F,8
1960,ANITA,F,431
1960,ANJA,F,8
1960,ANLAUG,F,5
1960,ANN,F,341
1960,ANN-CHRISTIN,F,8
1960,ANN-HELEN,F,4
1960,ANN-KARIN,F,18
1960,ANN-KRISTIN,F,36
1960,ANN-MARI,F,17
1960,ANNA,F,94
1960,ANNE,F,1760
1960,ANNE-BERIT,F,10
1960,ANNE-BRITT,F,12
1960,ANNE-GRETE,F,21
1960,ANNE-GRETHE,F,24
1960,ANNE-KARI,F,8
1960,ANNE-KARIN,F,10
1960,ANNE-KRISTIN,F,6
1960,ANNE-LISE,F,57
1960,ANNE-MARI,F,5
1960,ANNE-MARIE,F,19
1960,ANNE-MARIT,F,9
1960,ANNE-METTE,F,11
1960,ANNE-SOFIE,F,8
1960,ANNELISE,F,7
1960,ANNETTE,F,22
1960,ANNI,F,7
1960,ANNIE,F,15
1960,ANNIKA,F,9
1960,ANNIKEN,F,9
1960,ANNLAUG,F,15
1960,ANNY,F,24
1960,ANSGAR,M,5
1960,ANTHONY,M,9
1960,ANTON,M,13
1960,ANTONI,M,6
1960,ANTONIO,M,6
1960,ARE,M,32
1960,ARILD,M,284
1960,ARNA,F,6
1960,ARNE,M,495
1960,ARNFINN,M,68
1960,ARNHILD,F,22
1960,ARNOLD,M,13
1960,ARNSTEIN,M,42
1960,ARNT,M,91
1960,ARNULF,M,15
1960,ARTHUR,M,17
1960,ARTUR,M,6
1960,ARVE,M,138
1960,ARVID,M,101
1960,ASBJORN,M,88
1960,ASGEIR,M,29
1960,ASHA,F,9
1960,ASLAK,M,12
1960,ASLAUG,F,28
1960,ASLE,M,47
1960,ASMUND,M,32
1960,ASTA,F,7
1960,ASTRI,F,36
1960,ASTRID,F,257
1960,ATLE,M,140
1960,AUD,F,226
1960,AUDHILD,F,27
1960,AUDNY,F,5
1960,AUDUN,M,57
1960,AXEL,M,7
1960,BAARD,M,7
1960,BARBARA,F,24
1960,BARBRO,F,25
1960,BARD,M,83
1960,BEATE,F,61
1960,BEATHE,F,10
1960,BELINDA,F,4
1960,BEN,M,8
1960,BENEDICTE,F,11
1960,BENGT,M,54
1960,BENT,M,77
1960,BENTE,F,714
1960,BENTHE,F,11
1960,BERIT,F,401
1960,BERNHARD,M,6
1960,BERNT,M,73
1960,BETTY,F,12
1960,BIRGER,M,56
1960,BIRGIT,F,75
1960,BIRGITTA,F,6
